video_id,channel_id,timestamp,content,like_count,event_id
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"Jenson Bunny....lol, nichole, i swear when i started watching F1 and Crofty threw it over to Jenson doing post race interviews, i was like ""Jenson Button?...that name sounds like a cartoon rabbit.""",0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"Please, please come back to Stardew! We would all love to see your farm again especially after the update. These videos were my favorites! Even if you don??t come back to Stardew, it??s been truly lovely to have you back <3",2,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,Hoping we get the last two seeasons,1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,the gentle sound of her mouse clicking is so tingly!,1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,CA just released 1.6!! I hope you??ll get to play for us someday! ?,1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,Still watching in 2024 ?,3,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,I would be so happy watch her make videos about Fallout Settlements and Stardew Valley again,1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,She hasn??t posted in 6 years. I really hope that her life is going well !!,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"I imagine spring living her life now, waking up every morning giving her significant other a pomegranate lmao",0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,I imagine shes taken her stardew valley family and made it a reality... I hope so.. Love yeah spring! hope to see you make content in the future!,2,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"love coming back to this video. stardew valley is one my absolute favorite games, and you show off perfectly the best parts ????",0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,I had no idea you were an F1 fan!!! I love Raikochick,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"Still an amazing video, back then and in 2022. We miss you, Spring! You are so talented.",1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"""and this is little evil, and he's very sweet""",1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,still watching in 2022! constantly rewatch these videos. i hope spring is doing well. such a wonderful soul. ??,13,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,spring's husband must be finnish since so many of the names are finnish names,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,El chapo cause he??s evil lol love that,1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,Oh my gosh. Two of my favorite kinds of videos rolled into one!,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"Pam likes to drink everybody. 

idk why but i find that so funny.",0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"The little Evil name is to me like you are angelic, you mock evil ones, and you used that. xD.",0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,The diamond cave looks like you're mining for bitcoin,1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,Is Mr Baby really just Garfield?,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,Charlie from the intruder ??YOU DONT DESERVE FOX GLOVE??,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,We're never gonna get to see her farm in all 4 seasons ??,117,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,what,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,It took me almost half an hour to notice she??s done all this but doesn??t use iridium tools,1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,Why did she stop makin asmr,1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,if you will be have children amazing voice non stop woudlike to listen your fairytayle story all the best I glad you are in good hands really thanks everyone,1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,this game its not so stupid like I think so on first time goods for me i nothing say to you about this game Morning Porcelain L... Y..,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,for your sentences i woudlike to say yes but I cant,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,I Saw girl like you in my city maybe I get any chance if I saw again girl like you,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"Honestly no one else even comes close to your level of comfy. You are the unchallenged queen of asmr. Shame that you no longer do this, but thank you for all the good nights rest you've provided me with. ?",28,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"Still waiting for Summer and Autumn. More than that, much more, we all miss you and hope you're living your best most beautiful life, healthy and content.",175,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,so I just started playing stardew valley and I??m a little creeped out by how all the characters just stare at stuff. Like Alex just stares at this bush all day smh but I might marry him sooooo,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,I MISS YOU SPRINGBOK!!! You introduced me to Stardew Valley and I love it now. I??m also pursuing Elliot ??,15,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,She sounds like MissFushi.,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,Omg this is so cute lol,1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,Find u a woman that talks about u the way Spring talks about Mr. Baby,6,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"to me, this is an asmr  c  l  a  s  s  i  c",6,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,I know im 2 years late but I can't believe you named a chicken El Chapo ??,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"Someone stole your video and uploaded it, thought I would let you know, when you said your name I searched it up and found this one lol

https://youtu.be/EkbdKKT-BC0",0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"I??m so happy you and your baby are doing well. Take your time coming back, I??ve been rewatching all my old favorites of yours, such as this ????",1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,If there??s hamsters and you get one name it Lewis Hamsterton,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,I really miss Springbok videos. :-(,1,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,Mr. Baby lives the life. I wanna live like Mr. Baby,0,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,And it isssss!?!....clay.....wow.....great...,2,1
_6H6oAzWay0,UC-r8XyqbggZobMiNsqgWkDg,6/25/2016 3:30,"Oh my, birthdays were a big part of the work for me early on. That statue's property of giving you the favorite object sounds so useful.",1,1
